created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text
2024-12-29T23:24:03.000Z,Somewhere I don't want to be,,,,True,,RT [USER]: Tell me again why [ORGANIZATION] wants [ORGANIZATION]'s name on its [STREET] signs. [URL]
2024-12-29T21:46:44.000Z,"Space Coast, FL USA Earth",,,,True,,RT [USER]: Tell me again why [ORGANIZATION] wants [ORGANIZATION]'s name on its [STREET] signs. [URL]
2024-12-29T21:46:16.000Z,,,,,True,,RT [USER]: Tell me again why [ORGANIZATION] wants [ORGANIZATION]'s name on its [STREET] signs. [URL]
2024-12-29T21:33:09.000Z,"Pennsylvania, USA",,,,False,,Tell me again why [ORGANIZATION] wants [ORGANIZATION]'s name on its [STREET] signs. [URL]
2024-12-27T22:41:03.000Z,United States,,,,True,homeless,"[ORGANIZATION]: [PERSON] old [ORGANIZATION] [USER] did that. In between his [ORGANIZATION]. 

You’re Welcome Homeless folks! [PERSON]…"
2024-12-27T22:40:57.000Z,United States,,,,False,homeless,"[ORGANIZATION] old [ORGANIZATION] [USER] did that. In between his [ORGANIZATION]. 

You’re Welcome Homeless folks! [URL]"
2024-12-23T22:50:12.000Z,,,,,False,homeless,"[USER] Oh my “F’ING” —-, R U kidding me?  What about the HOMELESS AMERICANS that move from [ORGANIZATION] to [ORGANIZATION]?  Really, THIS HAS GOT TO BE A JOKE…. Tell me it isn’t so [ORGANIZATION] from [ORGANIZATION], tell me it isn’t so…. UNFRICKENUNBELIEVABLE"
2024-12-13T04:30:06.000Z,Northeast PA,,,,False,homeless,"A [INSTITUTION] in [ORGANIZATION] is back open and just in time for some of the coldest temperatures of [ORGANIZATION].
[URL]"
2024-12-02T04:08:20.000Z,,,,,False,homeless,"[USER] PERSON0 [PERSON] please do not go to [ORGANIZATION], it’s a waste of taxpayer money. Use that money for homeless veterans please! [URL]"
2024-12-02T04:07:34.000Z,,,,,False,homeless,"[USER] PERSON0 [PERSON] please do not go to [ORGANIZATION], it’s a waste of taxpayer money. Use that money for homeless veterans please! [PERSON]"
2024-12-02T04:06:39.000Z,,,,,False,homeless,"[USER] PERSON0 [PERSON] please do not go to [ORGANIZATION], it’s a waste of taxpayer money. Use that money for homeless veterans please! [URL]"
2024-12-02T04:05:51.000Z,,,,,False,homeless,"[USER] PERSON0 [PERSON] please do not go to [ORGANIZATION], it’s a waste of taxpayer money. Use that money for homeless veterans please!"
2024-12-02T04:05:17.000Z,,,,,False,homeless,"[USER] GPE0 PERSON0 please do not go to [PERSON], it’s a waste of taxpayer money. Use that money for homeless veterans please!"
2024-11-26T16:04:39.000Z,,,,,False,affordable housing,"[USER] [USER] “Wow one town”

Plenty of affordable housing.  Right down the [STREET]:

[URL]"
2024-11-13T16:13:16.000Z,New Jersey,,,,False,affordable housing,[ORGANIZATION] to [PERSON] gets 3rd tower [ORGANIZATION] affordable housing • GPE3 advances [ORGANIZATION]; [ORGANIZATION]  transport in [ORGANIZATION] - #transitfriendlyplanning #NJTOD #Amtrak #affordablehousing #BRT [URL]
2024-11-13T09:19:56.000Z,"Levittown, PA",,,,False,homeless,"[USER] Please do not lose touch with our reality. We are still here. [USER] 
I am still freezing outside homeless  in [ORGANIZATION] pa. I need [PERSON] pa [USER] and upstate NY [USER] please help me.
I miss my kid too. The investigations almost over"
2024-11-05T16:10:08.000Z,,,,,False,homeless,[USER] so people in places like [ORGANIZATION] going hungry and homeless have to watch [ORGANIZATION] parade around with the most spoiled celebrities. Makes sense
2024-10-31T15:19:15.000Z,,,,,False,homeless,"[ORGANIZATION] [USER] [USER] [USER] 
to pay all expenses for me to stay in a hotel until I was approved for an apt. [ORGANIZATION] told him no. He wanted me living homeless on the streets. I have tried to leave the [ORGANIZATION] but [ORGANIZATION] won't let me leave. He's illegally"
2024-10-31T15:08:41.000Z,,,,,False,homeless,"[USER] [USER] [USER] [USER] 
I have begged [ORGANIZATION] many times to help me. She has done nothing to stop [PERSON]. I live in forced poverty. The [ORGANIZATION] illegally controls my bank acct. I was forced to live homeless on the streets from [ORGANIZATION]."
2024-10-29T21:18:04.000Z,,,,,False,homeless,PERSON0 PERSON1 [USER] PERSON2 Why does PERSON3 always look homeless?!
2024-10-29T18:48:33.000Z,Pennsylvania ,,,,False,,"[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] 15 min cities.. 
you will own nothing and be happy .. no cars etc 
Local progress supposedly paid for their entire trip abroad .. bringing communism to our neighborhood.. 
wondering owns properties, switch hands, contractors, real estate, grants, [ORGANIZATION]

[URL] [URL] [URL]"
2024-10-29T18:35:27.000Z,,,,,False,homeless,PERSON0 PERSON1 [USER] PERSON2 Stop dressing like a fucking homeless guy you’re a politician. Present yourself better. Bum. PERSON3
2024-10-29T15:42:52.000Z,,,,,False,"homeless, homelessness","PERSON0 PERSON1 [USER] [ORGANIZATION] who says she will not change anything:
Highest in history, homelessness,
Highest in history, illegal immigration,
Average mortgage $1000 higher
13,000 convicted murderes let in the [ORGANIZATION],
Over 57,000 women sex trafficked,
Highest inflation in [ORGANIZATION], 
Wars in"
2024-10-28T22:50:56.000Z,,,,,False,homeless,"[USER] [USER] PERSON0 [USER] [PERSON] spends $451 billion a year on housing, healthcare, [ORGANIZATION]; education for illegals

[USER] spends hundreds of billions more on wars killing kids

Only $3 billion for homeless vets &amp; $750 for hurricane victims

#[PERSON] YOU

[USER] 

#PERSON3 #PERSON4"
2024-10-28T22:50:47.000Z,,,,,False,homeless,"[USER] [USER] PERSON0 [USER] [PERSON] spends $451 billion a year on housing, healthcare, [ORGANIZATION]; education for illegals

[USER] spends hundreds of billions more on wars killing kids

Only $3 billion for homeless vets &amp; $750 for hurricane victims

#[PERSON] YOU

[USER] 

#PERSON3 #PERSON4"
2024-10-24T20:07:53.000Z,Leicester,,,,True,,"[ORGANIZATION]: PERSON1 created PERSON2, and that didn't work out so hot, did it? PERSON3, POTUS with the [ORGANIZATION], PERSON4 from [ORGANIZATION], crea…"
2024-10-23T23:29:25.000Z,California,,,,True,,"[ORGANIZATION]: PERSON1 created PERSON2, and that didn't work out so hot, did it? PERSON3, POTUS with the [ORGANIZATION], PERSON4 from [ORGANIZATION], crea…"
2024-10-23T23:20:18.000Z,Parts unknown,,,,False,homeless,"[ORGANIZATION] created PERSON1, and that didn't work out so hot, did it? PERSON2, POTUS with the [ORGANIZATION], PERSON3 from [ORGANIZATION], creates tons of 'em (jobs). Why, I work 3 myself, all low-paying, and am still poor and homeless. YOU-- great job, freak! We're all better off when you lose yours. [ORGANIZATION]"
2024-10-23T03:30:10.000Z,Northeast PA,,,,False,"homeless, homelessness","When the [ORGANIZATION] temps hit [ORGANIZATION], a non-profit that helps people experiencing homelessness and food insecurity wants to be ready.
[URL]"
2024-10-17T20:01:22.000Z,"Scranton, PA",,,,False,unhoused,"📋 [ORGANIZATION] is accepting applications for our [ORGANIZATION] (CDBG)

✨ Organizations offering support for senior citizens, unhoused individuals, public safety, child care, &amp; more can apply.

🔗 For more details visit: [URL] [URL]"
2024-10-12T10:43:30.000Z,"Kentucky, USA",,,,True,,[ORGANIZATION]: A local hotel in [ORGANIZATION] has a bus outside of it with decals and the words: veterans against [ORGANIZATION]. If anyone could suppor…
2024-10-11T15:06:18.000Z,"Scranton, PA",,,,False,"homeless, homelessness","With DATE0 on the horizon, construction is now
underway on the new, permanent location for FAC0, an emergency shelter for men experiencing homelessness, which is operated by [ORGANIZATION] of the Diocese of [ORGANIZATION].

[PERSON]"
2024-10-09T20:32:54.000Z,"Pennsylvania, USA",,,,False,homeless,"[USER] Happening Now! PERSON0 in [ORGANIZATION] low energy, small crowd of worn out dead enders and losers.  Heck even the local homeless camp by the river is pissed this loser showed up.  Have a PERSON1 !"
2024-10-09T18:06:21.000Z,,,,,False,"homeless, homelessness","[USER] [USER] You're claiming [ORGANIZATION] wants more neverending inflation, more wide open borders, more forever wars, and more of the homelessness epidemic. 

You'll understand if I'm skeptical."
2024-10-09T01:39:33.000Z,"Pennsylvania, USA",,,,False,"homeless, homelessness",[ORGANIZATION] in [ORGANIZATION] …there is a decal bus with a sign that says [PERSON]. I just read a study [ORGANIZATION] about the increase in veteran homelessness due to  [PERSON]!  No one cares about the troops more than President [PERSON].
