created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,keywords_matched,Deidentified_text,city
2024-10-14T22:49:57.000Z,"South Bend, IN",,,,False,homeless,"3535 [ORGANIZATION] ([ORGANIZATION])
[PERSON] 135

Unwanted Person

Caller advising of a homeless person sleeping on the property. The person has been asked to leave multiple times. 

#[PERSON]",south bend
2024-10-21T01:26:56.000Z,,,,,False,"homeless, homelessness",[USER] Ran GPE0 into a shit.  hole. High crime and homelessness. Taxes went through the roof. Don’t be a hypocrite,south bend
2024-11-28T16:30:12.000Z,"Mishawaka, IN",,,,False,homeless,"#[PERSON]: A [ORGANIZATION] family served [ORGANIZATION] dinner to more than 100 homeless people [LOCATION], and are planning on helping even more DATE2!

[LOCATION]",south bend
2024-12-06T22:33:16.000Z,USA ,,,,False,affordable housing,PERSON0 You couldn’t even fill the potholes in [ORGANIZATION]. You forced Americans out of jobs and affordable housing to favor illegals. [ORGANIZATION] is still a shithole.,south bend
2024-11-03T03:00:02.000Z,"Mishawaka, IN",,,,False,homeless,"Local organizations teaming up and camping out to raise awareness and collect donations for those who are homeless in [ORGANIZATION]. [USER] has more on the seventh DATE0 ""Sleep-Out for the Homeless""
[URL]",south bend
2024-12-14T01:12:32.000Z,"South Bend, IN",,,,False,homeless,"813 S. FAC0 ([ORGANIZATION])
[ORGANIZATION] 

[TIME]: They advised this was NOT a car that rolled over. Sounds like they said  “cart”. The patient is alert.

#SouthBend [URL]",south bend
2024-11-27T14:08:02.000Z,United States,,,,False,homeless,Group behind new low-barrier [INSTITUTION] in [ORGANIZATION] embarks on next steps [URL],south bend
2024-12-09T19:12:26.000Z,,,,,False,homeless,"Since you're all here, please consider donating to [ORGANIZATION]. They do wonderful work for the poor, and your kindness is especially appreciated during the frigid [ORGANIZATION]. [URL]",south bend
2024-11-01T11:00:24.000Z,"Long Island City, New York",,,,False,,"[ORGANIZATION], a #nationwide #nonprofit #provider of affordable #multifamily #housing for older #adults, held a ground-breaking #ceremony for FAC0 in [ORGANIZATION], [PERSON].

[URL]",south bend
2024-12-20T15:27:43.000Z,The Goat House,,,,False,homeless,"[USER] Even with the homeless in the middle of FAC0, [ORGANIZATION] is such a shit hole with the [ORGANIZATION]’s WORST stadium.",south bend
