created_at,user_location,tweet_geo,tweet_country,place_type,is_retweet,Deidentified_text
2024-12-31T02:22:09.000Z,"Kalamazoo, Michigan",,,,True,RT @BaptismUSA: [ORGANIZATION] bless [ORGANIZATION] for making a cash donation to @[ORGANIZATION]sKitchenofMI. Their tireless effort to fight hunger in [ORGANIZATION]…
2024-12-30T19:38:07.000Z,"Kalamazoo, MI",,,,False,"PERSON0amp; [PERSON], Thanks for your generous donation to [ORGANIZATION]. Your Love [PERSON] will provide free dinners for the homeless and other needy souls in [ORGANIZATION] in [ORGANIZATION]. PERSON2 bless you. [URL]"
2024-12-30T19:28:59.000Z,"Kalamazoo, MI",,,,False,"@SeelyeAutoGroup, Thanks for making a cash donation to @[ORGANIZATION]sKitchenofMI. Your tireless effort to fight hunger in [ORGANIZATION] and [ORGANIZATION] will provide free dinners for the homeless and other needy souls in [ORGANIZATION]. [ORGANIZATION] bless you. PERSON1 and [PERSON] with Rev. PERSON3. [URL]"
2024-12-30T19:18:19.000Z,"Kalamazoo, Michigan",,,,False,[ORGANIZATION] bless [ORGANIZATION] for making a cash donation to @[ORGANIZATION]sKitchenofMI. Their tireless effort to fight hunger in [ORGANIZATION] and [ORGANIZATION] will provide free dinners for the homeless and other needy souls in [ORGANIZATION]. Thank you. PERSON1 and [PERSON] with Rev. PERSON3. [URL]
2024-12-25T04:04:42.000Z,,,,,False,"""100 people in need find shelter &amp; community [ORGANIZATION] thanks to [ORGANIZATION] #HomeForTheHolidays""

[URL]"
2024-12-24T23:43:38.000Z,,,,,False,"""[ORGANIZATION] provides hotel rooms, meals &amp; clothing to 100 unhoused individuals for [ORGANIZATION], offering a sense of [ORGANIZATION]; comfort #HomelessnessAwareness""

[URL]"
2024-12-24T13:49:13.000Z,Midwest,,,,True,"[PERSON]: The organization aims to ensure that everybody is surrounded by comfort and joy [ORGANIZATION], according to [ORGANIZATION].
htt…"
2024-12-23T23:30:04.000Z,West Michigan,,,,False,"The organization aims to ensure that everybody is surrounded by comfort and joy [ORGANIZATION], according to [ORGANIZATION].
[URL]"
2024-12-22T15:47:39.000Z,NYC,,,,True,"RT @NewUrbanism: Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle…"
2024-12-22T15:45:51.000Z,"Louisville, KY",,,,True,"RT @NewUrbanism: Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle…"
2024-12-22T15:40:42.000Z,Tuscaloosa,,,,True,"RT @NewUrbanism: Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle…"
2024-12-20T21:18:39.000Z,"Columbus, OH",,,,True,"RT @NewUrbanism: Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle…"
2024-12-20T18:09:48.000Z,Chicago,,,,True,"RT @NewUrbanism: Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle…"
2024-12-20T18:00:35.000Z,"DC, USA & worldwide",,,,False,"Pre-approved plans are part of [ORGANIZATION]’s effort to promote affordable housing through regulatory reform, missing middle housing types, and financial support and incentives. [ORGANIZATION]"
2024-12-16T20:51:46.000Z,"Kalamazoo, MI",,,,False,"Seeking to end homelessness among jail inmates, [ORGANIZATION] ([ORGANIZATION]) receives $20K grant! [PERSON]! [URL]"
2024-12-16T01:56:42.000Z,A Deluxe Apartment In The Sky.,,,,False,"We need more of this across the country. Help end homeless, and encourage responsibility.

[URL]"
2024-12-13T00:11:01.000Z,"Mason, MI",,,,True,"[ORGANIZATION]: The tiny houses were built for people turned away by landlords due to their past convictions or substance use disorders.
http…"
2024-12-12T23:30:05.000Z,West Michigan,,,,False,"The tiny houses were built for people turned away by landlords due to their past convictions or substance use disorders.
[URL]"
2024-12-06T17:00:23.000Z,Grand Haven & Muskegon,,,,False,"[URL] As student homelessness rises, program aims to house 150 families by [ORGANIZATION]"
2024-12-06T14:30:49.000Z,settler colonial land in MI,,,,False,"👇🏽 @LINCrev [LOCATION] PERSON0 [ORGANIZATION] 
As student homelessness rises, program aims to house 150 families by [ORGANIZATION] [URL]"
2024-12-05T12:33:02.000Z,"Kalamazoo, MI",,,,False,"As student homelessness rises, program aims to house 150 families by [PERSON]"
2024-12-05T12:20:03.000Z,Michigan,,,,False,"As student homelessness rises, program aims to house 150 families by [ORGANIZATION] [URL]"
2024-12-03T16:23:12.000Z,United States,,,,False,"@MLive Can we do something about reducing homelessness especially right in the middle of downtown [ORGANIZATION]? If I was a business owner down there, I would be so mad I would pack up and leave."
2024-12-02T14:00:56.000Z,,,,,False,"[ORGANIZATION] is dedicated to ending [PERSON], and to help [ORGANIZATION], we bring the resources to them. Every second [DATE], [ORGANIZATION] and our partners come to [ORGANIZATION] at 500 N. Edwards [STREET], [ORGANIZATION], [PERSON], from [TIME]
#[ORGANIZATION] #EndingVeteranHomelessness [URL]"
2024-11-30T16:48:29.000Z,"Kalamazoo, MI",,,,False,1. Ten new homes mark the start of an affordable housing project for low-income families near [LOCATION]. [URL]
2024-11-27T14:00:07.000Z,Michigan,,,,False,[LOCATION]-funded mobile homes arrive for families facing homelessness [URL]
2024-11-27T12:44:52.000Z,,,,,False,"[LOCATION]-funded mobile homes arrive for families facing homelessness 
Source: [ORGANIZATION]
[URL]"
2024-11-27T12:33:03.000Z,Michigan,,,,False,[LOCATION]-funded mobile homes arrive for families facing homelessness [URL]
2024-11-27T12:21:02.000Z,"Kalamazoo, MI",,,,False,[LOCATION]-funded mobile homes arrive for families facing homelessness [URL]
2024-11-26T21:57:38.000Z,"Grand Rapids, Mich.",,,,False,[ORGANIZATION] is celebrating the first of ten new affordable housing units at a mobile home park near FAC0: [URL]
2024-11-26T17:05:32.000Z,"Kalamazoo, MI",,,,False,"Asking people about challenges of finding affordable housing in [ORGANIZATION] area:

""The housing situation here is beyond abysmal! I feel even worse for the poor/homeless. The county/city cant seem to get their shit together to address the problem,"" one said. [URL]"
2024-11-25T14:00:02.000Z,"Kalamazoo, Michigan",,,,False,"[ORGANIZATION] is [LOCATION], and [ORGANIZATION] is seeing a DATE2 high in their homeless population according to the [ORGANIZATION] count.
[URL]"
2024-11-21T16:57:24.000Z,"Kalamazoo, MI",,,,False,"LOCAL NEWS - Plans to convert [ORGANIZATION] hotel into [INSTITUTION] cancelled after lofty $5.2M pricetag goes public 

[URL]"
2024-11-21T02:30:03.000Z,West Michigan,,,,False,"Plans to convert [ORGANIZATION] hotel into [INSTITUTION] being re-evaluated
[URL]"
2024-11-20T14:16:23.000Z,"Michigan, USA",,,,False,[ORGANIZATION] @Ally_Sammarco [ORGANIZATION] is a homeless mess.
2024-11-19T15:12:20.000Z,Michigan,,,,False,@GrassrootArmy GPE0 It doesn't help when cities around the state put their homeless on buses and send them to [PERSON].  [ORGANIZATION] in other states does this as well.
2024-11-19T04:00:04.000Z,West Michigan,,,,False,"New [ORGANIZATION] home aims to help homelessness and addiction
[URL]"
2024-11-18T04:00:24.000Z,,,,,True,[LOCATION] @Elevate_JRiden: Fun fact--the homeless population is growing in [ORGANIZATION] and its not just because of bad policies. Cities and towns ar…
