filename,date,paragraph,matched_words
11_16_2021_buffalo_meeting_minutes.mp3.bd4d1653-159b-44d0-8bbc-506ebd846b06.Transcript.txt,11_16_2021,This is tomorrow at 6 p.m. At the delegate right. So I'm hoping that everyone who's watching will attend because this is a major development that will bring more affordable housing here to the city of Buffalo and we really would like everyone's input. We have been in communication with the developers and they seem to be very very excited and knowledgeable at the same time about what they're trying to do here.,affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,"Now, some would say that's a bad problem. I say it's a part of a growing city, but government still should look, I believe, at how and what tools do we have in order to either incentivize businesses  rent stabilization in some way, encourage it, continue. We know that the administration has been pushing affordable housing.",affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,um but we also want to make sure we have some professionals if you know of who might may really help us I in this task force and move for council member why thank you share wanna thank you for your leadership on this I think it's something that's very timely and very important matter fact I'm gonna be having a meeting with a group of folks  who worked with Joel regarding inclusionary zoning as well as affordable housing. I think that people want to see their elected officials doing something about their plight. And many of them are in situations that they can't help themselves.,affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,They should be able to benefit too. So I think this is a timely task force. I'm looking forward to working with the individuals that come with some new ideas to help balance this thing out because we do want developers to come and develop affordable housing and make sure that everyone benefits.,affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,"They all include workforce housing or affordable housing. And one of my greatest concerns has been all of the new development that was coming downtown, much of it was market rate. And so you would not have that inclusion and that diversity.",affordable housing
11_29_2016_buffalo_meeting_minutes.mp3.cb677184-4571-4e9e-b947-585b40f243cc.Transcript.txt,11_29_2016,There is money to be made. There is a niche with affordable housing. There's a niche with market rate.,affordable housing
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"We have a special presentation from Councilwoman Everhart. Good afternoon everyone. So this month, November, is National Homelessness and Hunger Awareness Month.",homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"And so I know quite a few people who work in this space. And so I wanted to make sure that we recognize the work that these organizations do in our community to keep people housed and off the street, um, A lot of people deal with homelessness on a lot of different levels, right? People get evicted, people lose their jobs, and we have safe havens in the community who make sure that them and their families are taken care of.",homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"So I'm going to read a little bit of this because she's deserving. Thank you. Whereas, Luann Firestone, an Executive Director of Family Promise of Western New York, has led the organization with profound dedication, ensuring that families facing homelessness in Buffalo stay united, supported, and empowered during times of crisis.",homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"Under Luann's compassionate leadership, Family Promise stands as one of the few shelters in Erie County that offers a safe and inclusive refuge for entire families, addressing the unique needs of each family member, especially the children who make up 75% of its guests. She has championed efforts to make... Family Promise, a fully ADA accessible facility that provides essential services to neurodivergent children, larger families, and those with specific dietary needs, creating a supportive and welcoming space for all. Now, therefore, the Common Council of the City of Buffalo proudly honors and celebrates Luann Firestone for her exceptional leadership at Family Promise of West New York, recognizing her inspiring impact on the community and her tireless dedication in observance of National Homeless Awareness Month.",homeless
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"So it's very working with the homeless population, with families experiencing homelessness is a lot each and every day. You know, but we do it with love and compassion, and we're there to serve the community. We're actually trying to build a second shelter because family homelessness is really escalating right now, and there's not enough space and shelter to house families.",homeless; homelessness
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"Whereas Compass House was founded in 1972 as a homeless shelter, today they operate an emergency shelter, a resource center, and a rapid rehousing program. Their mission is to provide runaway homeless and street youth with safe shelter and services in an environment that supports dignity, respect, and self-reliance. Lisa Freeman has been the Executive Director of Compass House since 2011, and this year marks Ms. Freeman's 36th year of service at the agency, having previously served as Compass House's Assistant Executive Director.",homeless
11_26_2024_buffalo_meeting_minutes.mp3.753e132f-7ab1-43c3-bb73-3d917b3e94f0.Transcript.txt,11_26_2024,"You're very welcome. I just want to thank the City of Buffalo in general. I mean, we've been in existence for 52 years, and I believe the City of Buffalo and all of you wonderful people here have always supported Compass House and all of our programs, and I just thank all of you for helping the runaway and homeless youth of Erie County.",homeless
09_15_2020_buffalo_meeting_minutes.mp3.81dbe770-9943-41b7-80a5-d867555d3983.Transcript.txt,09_15_2020,"Thank you Mr. Chair. and of course uh yvonne if it wasn't for yvonne a lot of people would not have affordable housing and it wouldn't be generated within our community um because yvonne works very hard with community groups so we're praying for her hearing another we continue to remember um  the men and women who may have given their life for the freedom of our country and others since our last meeting, and all of the names that have been called, we pause for a moment of silence. Thank you.",affordable housing
